城市,公交名,首末班车时间,起始站,起始站经度,起始站纬度,终点站,终点站经度,终点站纬度,站点名,最高价,英文名,站数,经度,纬度,性质,线路ID,区号,区县编码,站点ID,总站数,发车间隔,线路总长度,基础价格,站点状态,ICCARD
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,北新泾,6,bei xin jing,5,121.373994,31.216357,地铁,310100025694,021,310105,310100025694006,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,威宁路,6,wei ning lu,6,121.387285,31.21487,地铁,310100025694,021,310105,310100025694007,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,娄山关路,6,lou shan guan lu,7,121.404058,31.211158,地铁,310100025694,021,310105,310100025694008,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,中山公园,6,zhong shan gong yuan,8,121.41818,31.218571,地铁,310100025694,021,310105,310100025694009,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,江苏路,6,jiang su lu,9,121.43246,31.219899,地铁,310100025694,021,310105,310100025694010,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,静安寺,6,jing an si,10,121.446221,31.223083,地铁,310100025694,021,310106,310100025694011,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,南京西路,6,nan jing xi lu,11,121.459971,31.229853,地铁,310100025694,021,310106,310100025694012,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,人民广场,6,ren min guang chang,12,121.472868,31.232949,地铁,310100025694,021,310101,310100025694013,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,南京东路,6,nan jing dong lu,13,121.483609,31.237101,地铁,310100025694,021,310101,310100025694014,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,陆家嘴,6,lu jia zui,14,121.502262,31.238195,地铁,310100025694,021,310115,310100025694015,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,东昌路,6,dong chang lu,15,121.515556,31.23327,地铁,310100025694,021,310115,310100025694016,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,世纪大道,6,shi ji da dao,16,121.527221,31.228764,地铁,310100025694,021,310115,310100025694017,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,上海科技馆,6,shang hai ke ji guan,17,121.544439,31.21882,地铁,310100025694,021,310115,310100025694018,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,世纪公园,6,shi ji gong yuan,18,121.550909,31.209421,地铁,310100025694,021,310115,310100025694019,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,龙阳路,6,long yang lu,19,121.557377,31.202992,地铁,310100025694,021,310115,310100025694020,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,张江高科,6,zhang jiang gao ke,20,121.587687,31.201832,地铁,310100025694,021,310115,310100025694021,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,金科路,6,jin ke lu,21,121.601989,31.204213,地铁,310100025694,021,310115,310100025694022,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线,,徐泾东,121.299204,31.188367,广兰路,121.621072,31.21105,广兰路,6,guang lan lu,22,121.621072,31.21105,地铁,310100025694,021,310115,310100025694023,22,3-6分钟,36.53076,3,1,1
上海,地铁2号线东延线,06:00-22:00,浦东国际机场,121.806497,31.150024,广兰路,121.621072,31.21105,浦东国际机场,5,pu dong guo ji ji chang,1,121.806497,31.150024,地铁,310100024532,021,310115,310100024532002,9,,23.73549,3,1,1
上海,地铁2号线东延线,06:00-22:00,浦东国际机场,121.806497,31.150024,广兰路,121.621072,31.21105,海天三路,5,hai tian san lu,2,121.796878,31.168459,地铁,310100024532,021,310115,310100024532003,9,,23.73549,3,1,1
上海,地铁2号线东延线,06:00-22:00,浦东国际机场,121.806497,31.150024,广兰路,121.621072,31.21105,远东大道,5,yuan dong da dao,3,121.755346,31.199485,地铁,310100024532,021,310115,310100024532004,9,,23.73549,3,1,1
上海,地铁2号线东延线,06:00-22:00,浦东国际机场,121.806497,31.150024,广兰路,121.621072,31.21105,凌空路,5,ling kong lu,4,121.723791,31.192826,地铁,310100024532,021,310115,310100024532005,9,,23.73549,3,1,1
上海,地铁2号线东延线,06:00-22:00,浦东国际机场,121.806497,31.150024,广兰路,121.621072,31.21105,川沙,5,chuan sha,5,121.69821,31.186741,地铁,310100024532,021,310115,310100024532006,9,,23.73549,3,1,1
上海,地铁2号线东延线,06:00-22:00,浦东国际机场,121.806497,31.150024,广兰路,121.621072,31.21105,华夏东路,5,hua xia dong lu,6,121.681098,31.196553,地铁,310100024532,021,310115,310100024532007,9,,23.73549,3,1,1
上海,地铁2号线东延线,06:00-22:00,浦东国际机场,121.806497,31.150024,广兰路,121.621072,31.21105,创新中路,5,chuang xin zhong lu,7,121.673713,31.213871,地铁,310100024532,021,310115,310100024532008,9,,23.73549,3,1,1
上海,地铁2号线东延线,06:00-22:00,浦东国际机场,121.806497,31.150024,广兰路,121.621072,31.21105,唐镇,5,tang zhen,8,121.656269,31.214107,地铁,310100024532,021,310115,310100024532009,9,,23.73549,3,1,1
上海,地铁2号线东延线,06:00-22:00,浦东国际机场,121.806497,31.150024,广兰路,121.621072,31.21105,广兰路,5,guang lan lu,9,121.621072,31.21105,地铁,310100024532,021,310115,310100024532010,9,,23.73549,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,上海南站,6,shang hai nan zhan,1,121.43106,31.153343,地铁,310100034535,021,310104,310100034535002,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,石龙路,6,shi long lu,2,121.443205,31.157949,地铁,310100034535,021,310104,310100034535003,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,龙漕路,6,long cao lu,3,121.444346,31.16961,地铁,310100034535,021,310104,310100034535004,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,漕溪路,6,cao xi lu,4,121.43841,31.176746,地铁,310100034535,021,310104,310100034535005,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,宜山路,6,yi shan lu,5,121.427194,31.186717,地铁,310100034535,021,310104,310100034535006,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,虹桥路,6,hong qiao lu,6,121.420814,31.197524,地铁,310100034535,021,310105,310100034535007,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,延安西路,6,yan an xi lu,7,121.417062,31.209616,地铁,310100034535,021,310105,310100034535008,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,中山公园,6,zhong shan gong yuan,8,121.415741,31.218014,地铁,310100034535,021,310105,310100034535009,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,金沙江路,6,jin sha jiang lu,9,121.41315,31.232004,地铁,310100034535,021,310107,310100034535010,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,曹杨路,6,cao yang lu,10,121.417701,31.239302,地铁,310100034535,021,310107,310100034535011,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,镇坪路,6,zhen ping lu,11,121.429779,31.246369,地铁,310100034535,021,310107,310100034535012,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,中潭路,6,zhong tan lu,12,121.441001,31.254568,地铁,310100034535,021,310107,310100034535013,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,上海火车站,6,shang hai huo che zhan,13,121.457939,31.249632,地铁,310100034535,021,310106,310100034535014,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,宝山路,6,bao shan lu,14,121.476298,31.251523,地铁,310100034535,021,310106,310100034535015,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,东宝兴路,6,dong bao xing lu,15,121.480202,31.259886,地铁,310100034535,021,310109,310100034535016,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,虹口足球场,6,hong kou zu qiu chang,16,121.479154,31.271392,地铁,310100034535,021,310109,310100034535017,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,赤峰路,6,chi feng lu,17,121.482429,31.281247,地铁,310100034535,021,310109,310100034535018,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,大柏树,6,da bai shu,18,121.483216,31.289433,地铁,310100034535,021,310109,310100034535019,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,江湾镇,6,jiang wan zhen,19,121.485082,31.305546,地铁,310100034535,021,310109,310100034535020,29,5-12分钟,40.11045,3,1,1
上海,地铁3号线,,上海南站,121.43106,31.153343,江杨北路,121.439819,31.407858,殷高西路,6,yin gao xi lu,20,121.484856,31.320005,地铁,310100034535,021,310113,310100034535021,29,5-12分钟,40.11045,3,1,1
